PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,is_male,Embarked_C,Embarked_Q,Embarked_S
1,0,3,-0.5603308361781305,0.125,0.0,-0.8983234796079218,0.1,0,1,0,0,1
2,1,1,0.6551066700569848,0.125,0.0,1.3436890793764515,0.1,0,0,1,0,0
3,1,3,-0.2564714596193517,0.0,0.0,-0.8170847630620885,0.0,1,0,0,0,1
4,1,1,0.42721213763790067,0.125,0.0,1.0443667513097306,0.1,0,0,0,0,1
5,0,3,0.42721213763790067,0.0,0.0,-0.8027172900910506,0.0,1,1,0,0,1
6,0,3,-0.2593380985801533,0.0,0.0,-0.7571329586510297,0.0,1,1,0,1,0
7,0,1,1.8705441762921,0.0,0.0,1.0204630411157378,0.0,1,1,0,0,1
8,0,3,-2.0796277189720245,0.375,0.1111111111111111,0.11839332142775018,0.4,0,1,0,0,1
9,1,3,-0.180506615479657,0.0,0.2222222222222222,-0.4998517081352588,0.2,0,0,0,0,1
10,1,2,-1.1680495892956881,0.125,0.0,0.47149778717317564,0.1,0,0,1,0,0
11,1,3,-1.9276980306926352,0.125,0.1111111111111111,-0.10977789004758144,0.2,0,0,0,0,1
12,1,1,2.1744035528508787,0.0,0.0,0.347262515759095,0.0,1,0,0,0,1
13,0,3,-0.71226052445752,0.0,0.0,-0.8027172900910506,0.0,1,1,0,0,1
14,0,3,0.7310715141966795,0.125,0.5555555555555556,0.5107772368542245,0.6000000000000001,0,1,0,0,1
15,0,3,-1.1680495892956881,0.0,0.0,-0.8253120304442059,0.0,1,0,0,0,1
16,1,2,1.9465090204317947,0.0,0.0,-0.15146096612865578,0.0,1,0,0,0,1
17,0,3,-2.0796277189720245,0.5,0.1111111111111111,0.43956443209698404,0.5,0,1,0,1,0
18,1,2,0.10932811232244531,0.0,0.0,-0.35202503269781654,0.0,1,1,0,0,1
19,0,3,0.12335276107912184,0.125,0.0,-0.03656436738729707,0.1,0,0,0,0,1
20,1,3,-0.5462523515767144,0.0,0.0,-0.9014585492502322,0.0,1,0,1,0,0
21,0,2,0.42721213763790067,0.0,0.0,0.32643128521170517,0.0,1,1,0,0,1
22,1,2,0.35124729349820594,0.0,0.0,-0.35202503269781654,0.0,1,1,0,0,1
23,1,3,-1.0920847451559934,0.0,0.0,-0.8050942211818746,0.0,1,0,0,1,0
24,1,1,-0.10454177133996227,0.0,0.0,0.6378567709605388,0.0,1,1,0,0,1
25,0,3,-1.6238386541338563,0.375,0.1111111111111111,0.11839332142775018,0.4,0,0,0,0,1
