PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,is_male,Embarked_C,Embarked_Q,Embarked_S
1,0.0,3,22.0,1,0,7.25,1,0,1,0,0,1
2,1.0,1,38.0,1,0,71.2833,1,0,0,1,0,0
3,1.0,3,26.0,0,0,7.925,0,1,0,0,0,1
4,1.0,1,35.0,1,0,53.1,1,0,0,0,0,1
5,0.0,3,35.0,0,0,8.05,0,1,1,0,0,1
6,0.0,3,25.962263610315187,0,0,8.4583,0,1,1,0,1,0
7,0.0,1,54.0,0,0,51.8625,0,1,1,0,0,1
8,0.0,3,2.0,3,1,21.075,4,0,1,0,0,1
9,1.0,3,27.0,0,2,11.1333,2,0,0,0,0,1
10,1.0,2,14.0,1,0,30.0708,1,0,0,1,0,0
11,1.0,3,4.0,1,1,16.7,2,0,0,0,0,1
12,1.0,1,58.0,0,0,26.55,0,1,0,0,0,1
13,0.0,3,20.0,0,0,8.05,0,1,1,0,0,1
14,0.0,3,39.0,1,5,31.275,6,0,1,0,0,1
15,0.0,3,14.0,0,0,7.8542,0,1,0,0,0,1
16,1.0,2,55.0,0,0,16.0,0,1,0,0,0,1
17,0.0,3,2.0,4,1,29.125,5,0,1,0,1,0
18,1.0,2,30.815379746835443,0,0,13.0,0,1,1,0,0,1
19,0.0,3,31.0,1,0,18.0,1,0,0,0,0,1
20,1.0,3,22.185328947368422,0,0,7.225,0,1,0,1,0,0
21,0.0,2,35.0,0,0,26.0,0,1,1,0,0,1
22,1.0,2,34.0,0,0,13.0,0,1,1,0,0,1
23,1.0,3,15.0,0,0,8.0292,0,1,0,0,1,0
24,1.0,1,28.0,0,0,35.5,0,1,1,0,0,1
25,0.0,3,8.0,3,1,21.075,4,0,0,0,0,1
26,1.0,3,38.0,1,5,31.3875,6,0,0,0,0,1
27,0.0,3,25.962263610315187,0,0,7.225,0,1,1,1,0,0
28,0.0,1,19.0,3,2,263.0,5,0,1,0,0,1
29,1.0,3,22.185328947368422,0,0,7.8792,0,1,0,0,1,0
30,0.0,3,25.962263610315187,0,0,7.8958,0,1,1,0,0,1
31,0.0,1,40.0,0,0,27.7208,0,1,1,1,0,0
32,1.0,1,37.037593984962406,1,0,146.5208,1,0,0,1,0,0
33,1.0,3,22.185328947368422,0,0,7.75,0,1,0,0,1,0
34,0.0,2,66.0,0,0,10.5,0,1,1,0,0,1
35,0.0,1,28.0,1,0,82.1708,1,0,1,1,0,0
36,0.0,1,42.0,1,0,52.0,1,0,1,0,0,1
37,1.0,3,25.962263610315187,0,0,7.2292,0,1,1,1,0,0
38,0.0,3,21.0,0,0,8.05,0,1,1,0,0,1
39,0.0,3,18.0,2,0,18.0,2,0,0,0,0,1
40,1.0,3,14.0,1,0,11.2417,1,0,0,1,0,0
41,0.0,3,40.0,1,0,9.475,1,0,0,0,0,1
42,0.0,2,27.0,1,0,21.0,1,0,0,0,0,1
43,0.0,3,25.962263610315187,0,0,7.8958,0,1,1,1,0,0
44,1.0,2,3.0,1,2,41.5792,3,0,0,1,0,0
45,1.0,3,19.0,0,0,7.8792,0,1,0,0,1,0
46,0.0,3,25.962263610315187,0,0,8.05,0,1,1,0,0,1
47,0.0,3,25.962263610315187,1,0,15.5,1,0,1,0,1,0
48,1.0,3,22.185328947368422,0,0,7.75,0,1,0,0,1,0
49,0.0,3,25.962263610315187,2,0,21.6792,2,0,1,1,0,0
50,0.0,3,18.0,1,0,17.8,1,0,0,0,0,1
51,0.0,3,7.0,4,1,39.6875,5,0,1,0,0,1
52,0.0,3,21.0,0,0,7.8,0,1,1,0,0,1
53,1.0,1,49.0,1,0,76.7292,1,0,0,1,0,0
54,1.0,2,29.0,1,0,26.0,1,0,0,0,0,1
55,0.0,1,65.0,0,1,61.9792,1,0,1,1,0,0
56,1.0,1,41.02927152317881,0,0,35.5,0,1,1,0,0,1
57,1.0,2,21.0,0,0,10.5,0,1,0,0,0,1
58,0.0,3,28.5,0,0,7.2292,0,1,1,1,0,0
59,1.0,2,5.0,1,2,27.75,3,0,0,0,0,1
60,0.0,3,11.0,5,2,46.9,7,0,1,0,0,1
61,0.0,3,22.0,0,0,7.2292,0,1,1,1,0,0
62,1.0,1,38.0,0,0,80.0,0,1,0,0,0,1
63,0.0,1,45.0,1,0,83.475,1,0,1,0,0,1
64,0.0,3,4.0,3,2,27.9,5,0,1,0,0,1
65,0.0,1,41.02927152317881,0,0,27.7208,0,1,1,1,0,0
66,1.0,3,25.962263610315187,1,1,15.2458,2,0,1,1,0,0
